jira_id,pr_id,jira_description,pr_description,lines_added,lines_deleted,files_changed,comment_count,similarity_score
PROJ-1001,PR-1001,Improve query execution performance using JSONFormatter,Enhanced query execution with JSONFormatter for better performance,148,72,"['src/search/index.py', 'src/database/models.py']",9,0.96523494
PROJ-1002,PR-1002,Improve query execution performance using JSONFormatter,Enhanced query execution with JSONFormatter for better performance,186,10,"['src/file/uploader.py', 'tests/test_api.py', 'tests/test_user.py']",12,0.9652349
PROJ-1003,PR-1003,Implement password reset API endpoint using OAuth,Added password reset API endpoint with OAuth,136,100,['src/pipeline/processor.py'],17,0.93425876
PROJ-1004,PR-1004,Improve query execution performance using asyncio,Enhanced query execution with asyncio for better performance,60,99,"['tests/test_user.py', 'src/auth/utils.py']",1,0.96850383
PROJ-1005,PR-1005,Resolve null API responses issue in email module,Fixed null API responses in email module,156,81,"['tests/test_file.py', 'tests/test_user.py', 'tests/test_logger.py', 'src/email/sender.py', 'src/logger/logger.py']",10,0.9569799
PROJ-1006,PR-1006,Resolve database timeouts issue in auth module,Fixed database timeouts in auth module,70,87,"['tests/test_user.py', 'src/logger/logger.py']",12,0.97560143
PROJ-1007,PR-1007,Improve logging performance using multiprocessing,Enhanced logging with multiprocessing for better performance,22,61,"['src/user/models.py', 'src/database/models.py']",4,0.9587691
PROJ-1008,PR-1008,Implement Redis caching API endpoint using Elasticsearch,Added Redis caching API endpoint with Elasticsearch,18,95,"['tests/test_auth.py', 'src/user/models.py', 'tests/test_database.py', 'src/logger/logger.py', 'tests/test_file.py']",8,0.9623204
PROJ-1009,PR-1009,Resolve database timeouts issue in pipeline module,Fixed database timeouts in pipeline module,69,85,"['src/database/queries.py', 'src/email/sender.py', 'tests/test_api.py', 'tests/test_auth.py']",20,0.972178
PROJ-1010,PR-1010,Resolve null API responses issue in api module,Fixed null API responses in api module,10,64,"['src/database/queries.py', 'src/user/models.py', 'tests/test_search.py']",8,0.94652295
